class_id	p_value	class_label	rank	p_value_adjusted	false_discovery_rate	fold_enrichment	probability	sample_count	sample_total	background_count	background_total	ancestor_of_more_informative_result	descendant_of_more_informative_result
FYPO:0001350	9.987262529527715e-26	abnormal microtubule cytoskeleton organization during vegetative growth	1	9.368052252696997e-23	None	None	None	18	30	84	5057	None	None
FYPO:0000054	1.082771107499156e-25	abnormal microtubule cytoskeleton organization	2	1.0156392988342082e-22	None	None	None	19	30	106	5057	True	None
FYPO:0000297	1.082771107499156e-25	microtubule cytoskeleton organization phenotype	3	1.0156392988342082e-22	None	None	None	19	30	106	5057	True	None
FYPO:0000295	3.859896325190353e-22	cytoskeleton organization phenotype	4	3.6205827530285514e-19	None	None	None	20	30	194	5057	True	None
FYPO:0001353	4.565842620078601e-22	abnormal cellular component organization during vegetative growth	5	4.2827603776337274e-19	None	None	None	27	30	622	5057	True	None
FYPO:0000802	5.2998087359974735e-22	abnormal cytoskeleton organization	6	4.97122059436563e-19	None	None	None	20	30	197	5057	True	None
FYPO:0001328	1.6413606154293685e-21	abnormal cytoskeleton organization during vegetative growth	7	1.5395962572727477e-18	None	None	None	19	30	171	5057	True	True
FYPO:0000338	3.00870982453926e-21	abnormal mitotic spindle	8	2.822169815417826e-18	None	None	None	16	30	90	5057	None	None
FYPO:0001574	1.2217050778762216e-20	abnormal bipolar mitotic spindle	9	1.1459593630478958e-17	None	None	None	14	30	57	5057	None	True
FYPO:0000131	2.521604003505443e-20	abnormal mitotic spindle elongation	10	2.3652645552881055e-17	None	None	None	13	30	44	5057	None	True
FYPO:0000120	3.0405090374886353e-20	abnormal spindle	11	2.85199747716434e-17	None	None	None	16	30	103	5057	True	None
FYPO:0004090	9.278118202609494e-20	abnormal protein localization to microtubule cytoskeleton	12	8.702874874047705e-17	None	None	None	16	30	110	5057	None	None
FYPO:0006477	1.1964896461003074e-19	abnormal mitotic metaphase/anaphase transition	13	1.1223072880420884e-16	None	None	None	14	30	66	5057	None	None
FYPO:0002737	7.758588095535024e-19	abnormal mitotic cell cycle process	14	7.277555633611853e-16	None	None	None	24	30	535	5057	True	None
FYPO:0000186	1.2951542231084055e-18	abnormal cell division	15	1.2148546612756843e-15	None	None	None	23	30	471	5057	True	None
FYPO:0000324	1.2955269402624615e-18	mitotic metaphase/anaphase transition delay	16	1.215204269966189e-15	None	None	None	11	30	29	5057	None	True
FYPO:0004091	1.4664906388632948e-18	abolished protein localization to microtubule cytoskeleton	17	1.3755682192537704e-15	None	None	None	13	30	58	5057	None	True
FYPO:0002397	1.6640177446522662e-18	abnormal cytoskeleton	18	1.5608486444838258e-15	None	None	None	22	30	408	5057	True	None
FYPO:0002399	2.385162747148913e-18	abnormal microtubule cytoskeleton	19	2.2372826568256804e-15	None	None	None	21	30	353	5057	True	True
FYPO:0000934	5.2179541582134844e-18	abolished protein localization to microtubule cytoskeleton during vegetative growth	20	4.894441000404248e-15	None	None	None	12	30	46	5057	None	True
FYPO:0002966	6.227523554965221e-18	normal protein localization to mitotic spindle	21	5.841417094557377e-15	None	None	None	10	30	22	5057	None	None
FYPO:0000901	1.052899539343597e-17	abnormal microtubule dynamics during vegetative growth	22	9.876197679042939e-15	None	None	None	11	30	34	5057	None	True
FYPO:0000337	1.0700068968210608e-17	abnormal mitosis	23	1.003666469218155e-14	None	None	None	20	30	321	5057	True	True
